Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"BBSE3","BB SEGURIDADE SA","Financials","Equity","19’096’940.22","1.36","19’096’940.22","2’785’012.00","6.86","Brazil","XBSP","BRL"
"3702","WPG HOLDINGS LTD","Information Technology","Equity","19’072’945.14","1.36","19’072’945.14","5’090’860.00","3.75","Taiwan","Taiwan Stock Exchange","TWD"
"BMRI","BANK MANDIRI (PERSERO)","Financials","Equity","18’845’874.20","1.34","18’845’874.20","80’941’200.00","0.23","Indonesia","Indonesia Stock Exchange","IDR"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Financials","Equity","18’421’303.72","1.31","18’421’303.72","24’381’000.00","0.76","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MAYBANK","MALAYAN BANKING","Financials","Equity","18’193’927.92","1.30","18’193’927.92","6’563’046.00","2.77","Malaysia","Bursa Malaysia","MYR"
"EXX","EXXARO RESOURCES LTD","Energy","Equity","17’836’401.53","1.27","17’836’401.53","1’423’535.00","12.53","South Africa","Johannesburg Stock Exchange","ZAR"
"316","ORIENT OVERSEAS (INTERNATIONAL) LT","Industrials","Equity","17’399’470.34","1.24","17’399’470.34","941’500.00","18.48","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ASII","ASTRA INTERNATIONAL","Industrials","Equity","17’201’815.20","1.23","17’201’815.20","56’367’800.00","0.31","Indonesia","Indonesia Stock Exchange","IDR"
"2385","CHICONY ELECTRONICS LTD","Information Technology","Equity","16’550’228.60","1.18","16’550’228.60","3’964’000.00","4.18","Taiwan","Taiwan Stock Exchange","TWD"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energy","Equity","16’506’100.00","1.18","16’506’100.00","29’194’000.00","0.57","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TFG.R","THAI FOODS GROUP PCL NON-VOTING DR","Consumer Staples","Equity","16’238’911.19","1.16","16’238’911.19","53’835’700.00","0.30","Thailand","Stock Exchange Of Thailand","THB"
"ADRO","ALAMTRI RESOURCES INDONESIA","Energy","Equity","16’037’690.87","1.14","16’037’690.87","120’760’400.00","0.13","Indonesia","Indonesia Stock Exchange","IDR"
"CEZ","CEZ","Utilities","Equity","15’649’229.09","1.12","15’649’229.09","251’064.00","62.33","Czech Republic","Prague Stock Exchange","CZK"
"JBSS32","JBS NV BDR","Consumer Staples","Equity","14’693’988.65","1.05","14’693’988.65","1’115’126.00","13.18","Brazil","XBSP","BRL"
"1171","YANKUANG ENERGY GROUP COMPANY LTD","Energy","Equity","14’093’575.44","1.00","14’093’575.44","8’173’700.00","1.72","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"POMO4","MARCOPOLO PREF SA","Industrials","Equity","13’620’473.73","0.97","13’620’473.73","11’546’280.00","1.18","Brazil","XBSP","BRL"
"ALWN","ALLWYN AG","Consumer Discretionary","Equity","13’441’356.31","0.96","13’441’356.31","973’897.00","13.80","Greece","Athens Exchange S.A. Cash Market","EUR"
"6121","SIMPLO TECHNOLOGY LTD","Information Technology","Equity","12’740’665.48","0.91","12’740’665.48","1’056’000.00","12.07","Taiwan","Gretai Securities Market","TWD"
"998","CHINA CITIC BANK CORP LTD H","Financials","Equity","12’301’874.22","0.88","12’301’874.22","12’666’000.00","0.97","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TX","TERNIUM ADR EACH REPRESENTING TEN","Materials","Equity","12’206’686.28","0.87","12’206’686.28","259’772.00","46.99","Luxembourg","New York Stock Exchange Inc.","USD"
"PFCIBEST","GRUPO CIBEST PREF SA","Financials","Equity","12’131’761.51","0.86","12’131’761.51","741’314.00","16.37","Colombia","Bolsa De Valores De Colombia","COP"
"DIRR3","DIRECIONAL ENGENHARIA SA","Consumer Discretionary","Equity","12’103’725.42","0.86","12’103’725.42","4’746’086.00","2.55","Brazil","XBSP","BRL"
"BBAJIOO","BANCO DEL BAJIO INSTITUCION DE BAN","Financials","Equity","11’972’401.09","0.85","11’972’401.09","3’748’280.00","3.19","Mexico","Bolsa Mexicana De Valores","MXN"
"KTY","GRUPA KETY SA","Materials","Equity","11’954’600.75","0.85","11’954’600.75","36’533.00","327.23","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"BRAP4","BRADESPAR PREF SA","Materials","Equity","11’356’422.70","0.81","11’356’422.70","2’463’883.00","4.61","Brazil","XBSP","BRL"
"2393","EVERLIGHT ELECTRONICS LTD","Information Technology","Equity","11’230’314.96","0.80","11’230’314.96","5’425’000.00","2.07","Taiwan","Taiwan Stock Exchange","TWD"
"BBNI","BANK NEGARA INDONESIA","Financials","Equity","10’886’357.28","0.78","10’886’357.28","50’961’400.00","0.21","Indonesia","Indonesia Stock Exchange","IDR"
"BAAKOMB","KOMERCNI BANK","Financials","Equity","10’835’183.70","0.77","10’835’183.70","229’605.00","47.19","Czech Republic","Prague Stock Exchange","CZK"
"PTBA","TAMBANG BATUBARA BUKIT ASAM","Energy","Equity","10’586’372.20","0.75","10’586’372.20","68’869’800.00","0.15","Indonesia","Indonesia Stock Exchange","IDR"
